model,n_trials,subject_id,source_study,negative_log_likelihood,log_likelihood,aic,bic,converged,optimizer_message,n_function_evaluations,n_iterations,n_starts,learning_rate,inverse_temperature,outcome_sensitivity,loss_aversion,response_consistency,delta_aic,delta_bic,best_aic,best_bic
q_learning,150,10,Steingroever2011,37.241725766238204,-37.241725766238204,78.48345153247641,84.50472212066892,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,21,5,1,1.0,2.1604259714752594,,,,10.701925197184039,4.6806546089915315,False,False
pvl_delta,150,11,Steingroever2011,49.88943941869241,-49.88943941869241,107.77887883738482,119.82142001376985,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,250,34,32,0.12279630437380917,,1.0856033430884517,0.3257605586984953,2.619243049592177,0.0,0.0,True,True
q_learning,150,11,Steingroever2011,99.05107376379051,-99.05107376379051,202.10214752758102,208.12341811577355,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,60,12,1,0.014308589638038608,19.841416590264043,,,,94.3232686901962,88.3019981020037,False,False
pvl_delta,150,12,Steingroever2011,182.0286872003256,-182.0286872003256,372.0573744006512,384.09991557703626,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,485,56,32,0.00041433297210294816,,0.28862129580184903,2.9119297863962754,4.899631339292525,0.0,0.0,True,True
q_learning,150,12,Steingroever2011,207.9441541679839,-207.9441541679839,419.8883083359678,425.9095789241603,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,0,1,0.0,0.0,,,,47.83093393531658,41.80966334712406,False,False
pvl_delta,150,13,Steingroever2011,115.60588026414766,-115.60588026414766,239.21176052829531,251.25430170468033,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,240,31,32,0.0004796757356959952,,1e-06,0.924535569805821,4.999999994450703,0.0,0.0,True,True
q_learning,150,13,Steingroever2011,134.35921219767172,-134.35921219767172,272.71842439534345,278.73969498353597,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,66,15,1,0.011467587232046357,20.0,,,,33.50666386704813,27.48539327885564,False,False
pvl_delta,150,14,Steingroever2011,143.68789940246913,-143.68789940246913,295.37579880493826,307.4183399813233,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,515,70,32,0.07945340574219557,,0.7219165118307003,0.2461886289358729,1.4275701962610603,0.0,0.0,True,True
q_learning,150,14,Steingroever2011,207.9441541679839,-207.9441541679839,419.8883083359678,425.9095789241603,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,0,1,0.0,0.0,,,,124.51250953102954,118.49123894283701,False,False
pvl_delta,150,15,Steingroever2011,182.59320902655418,-182.59320902655418,373.18641805310835,385.2289592294934,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,500,67,32,0.7467513937592672,,0.41144818892786295,1e-06,0.9499963328509038,0.0,0.0,True,True
