model,n_trials,subject_id,source_study,negative_log_likelihood,log_likelihood,aic,bic,uniform_choice_nll,nll_improvement_over_uniform,uniform_choice_fit,n_parameters_at_lower_bound,n_parameters_at_upper_bound,n_parameters_at_any_bound,converged,optimizer_message,n_function_evaluations,n_iterations,n_starts,learning_rate,inverse_temperature
q_learning,150,55,Steingroever2011,106.18892511174519,-106.18892511174519,216.37785022349038,222.3991208116829,207.94415416798358,101.75522905623839,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,216,37,4,0.002385621346912388,100.0
q_learning,150,57,Steingroever2011,1.392298963229124,-1.392298963229124,6.7845979264582486,12.80586851465076,207.94415416798358,206.55185520475445,False,0,1,1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,15,3,1,0.19816186358366134,100.0
q_learning,100,225,SteingroverInPrep,53.40817742320357,-53.40817742320357,110.81635484640714,116.02669521838332,138.62943611198907,85.2212586887855,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,102,21,4,0.0065199034420845466,100.0
q_learning,100,230,SteingroverInPrep,50.50403342465009,-50.50403342465009,105.00806684930018,110.21840722127637,138.62943611198907,88.12540268733898,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,96,23,5,0.006100644227373328,100.0
q_learning,100,231,SteingroverInPrep,86.55391846884855,-86.55391846884855,177.1078369376971,182.31817730967327,138.62943611198907,52.075517643140515,False,0,1,1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,147,40,4,0.0024769060581821298,100.0
q_learning,100,233,SteingroverInPrep,129.2336900925751,-129.2336900925751,262.4673801851502,267.6777205571264,138.62943611198907,9.395746019413963,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,171,37,5,0.001061570684692147,100.0
q_learning,100,237,SteingroverInPrep,100.53707770077172,-100.53707770077172,205.07415540154344,210.2844957735196,138.62943611198907,38.09235841121735,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,111,30,4,0.0027634631662954434,100.0
q_learning,100,240,SteingroverInPrep,102.78585736156197,-102.78585736156197,209.57171472312393,214.7820550951001,138.62943611198907,35.8435787504271,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,30,5,5,0.0018559478546231667,100.0
q_learning,100,246,SteingroverInPrep,116.27454465010257,-116.27454465010257,236.54908930020514,241.7594296721813,138.62943611198907,22.354891461886496,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,27,5,5,0.0017315054498957,99.99999999701885
q_learning,100,254,SteingroverInPrep,66.486138644546,-66.486138644546,136.972277289092,142.18261766106818,138.62943611198907,72.14329746744306,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,24,4,4,0.005681004448546075,100.0
